x,MOS_Multiple_Forecast,Lufttemperatur_2m_Forecast,Lufttemperatur_2m_WeatherStation
1,1.0299318629,1.09552,0.761903
2,0.8534787234,0.907857,0.693168
3,0.840868816,0.894446,0.641616
4,1.0299318629,1.09552,0.761903
5,0.9353993992,0.994982,0.727535
6,0.8660707657,0.921249,0.469776
7,0.9353993992,0.994982,0.796271
8,0.9605966476,1.02178,0.933743
9,0.9921143642,1.0553,0.968111
10,0.954306268,1.01509,0.555696
11,0.7904451708,0.840819,0.624432
12,0.8030560185,0.854231,0.40104
13,1.0488406123,1.11563,0.899375
14,1.0551309919,1.12232,0.607248
15,0.9669152352,1.0285,0.847823
16,0.7841500899,0.834124,0.779087
17,0.7967599973,0.847535,0.761903
18,1.0866487084,1.15584,1.10558
19,0.9353993992,0.994982,0.555696
20,0.8912915208,0.948072,0.761903
21,0.8093520397,0.860927,0.675984
22,0.9164934706,0.974875,0.796271
23,1.0173228958,1.08211,0.968111
24,0.9984141464,1.062,0.452592
25,0.7652432211,0.814016,0.504144
26,0.8345727948,0.88775,0.590064
27,0.8912915208,0.948072,0.968111
28,0.9732150174,1.0352,1.07121
29,0.929103378,0.988286,0.727535
30,0.6896185664,0.733587,0.675984
31,0.6328998404,0.673265,0.624432
32,0.8030560185,0.854231,0.933743
33,0.7967599973,0.847535,0.916559
34,0.6896185664,0.733587,0.0401766
35,0.5824771355,0.619639,-0.389423
36,0.5824771355,0.619639,0.744719
37,0.8219619471,0.874338,1.10558
38,0.9353993992,0.994982,1.12277
39,1.0992576756,1.16925,0.968111
40,1.1055574578,1.17595,-0.0629272
41,1.0992576756,1.16925,1.20869
42,1.1118478374,1.18264,1.48363
43,1.067739959,1.13573,1.03685
44,0.979505397,1.04189,0.177648
45,0.840868816,0.894446,-0.0113753
46,1.1244568046,1.19605,1.41489
47,1.5782103739,1.67863,2.10225
48,1.5593016245,1.65852,1.31179
49,1.3324342425,1.41724,1.20869
50,1.118166425,1.18936,1.22587
51,1.1811830527,1.25638,1.65547
52,1.2378998982,1.3167,1.60392
53,1.1748832705,1.24968,1.05403
54,1.1370751744,1.20947,1.20869
55,0.9732150174,1.0352,1.12277
56,1.1937920199,1.26979,1.46645
57,1.1874734323,1.26307,1.39771
58,1.0488406123,1.11563,1.05403
59,0.9984141464,1.062,0.796271
60,0.9669152352,1.0285,0.779087
61,1.0488406123,1.11563,1.26024
