x,Forecast,Real
0,0.68412,0.693168
1,0.740689,0.847823
2,0.813647,1.13995
3,0.779369,0.779087
4,0.604995,0.675984
5,0.798914,0.435408
6,0.904393,0.968111
7,0.964432,0.916559
8,0.651093,0.847823
9,0.661976,0.779087
10,0.497608,0.744719
11,0.941412,1.10558
12,0.651766,0.813455
13,0.831468,0.761903
14,0.757776,0.710351
15,0.723449,0.916559
16,1.12034,1.15713
17,0.679687,0.57288
18,0.787889,0.57288
19,0.623322,0.57288
20,0.827985,0.933743
21,0.968261,0.968111
22,0.606772,0.6588
23,0.525177,0.624432
24,0.651386,0.452592
25,0.869486,0.985295
26,1.00888,1.03685
27,0.764643,0.349488
28,0.68679,-0.372239
29,0.623743,0.263568
30,0.830935,1.12277
31,0.858795,1.17432
32,0.222761,1.00248
33,0.152331,0.194832
34,0.565475,0.985295
35,1.02251,1.50081
36,1.12549,1.20869
37,0.936067,0.349488
38,0.302709,0.0745446
39,1.08767,1.07121
40,1.37838,2.03352
41,1.05736,1.58673
42,0.403254,1.27742
43,0.32565,1.22587
44,1.33434,1.48363
45,1.8288,1.58673
46,1.3268,1.13995
47,1.39689,1.22587
48,1.11301,1.12277
49,1.43732,1.26024
50,1.44554,1.55237
51,0.999551,1.03685
52,1.13406,0.899375
53,0.96728,0.796271
54,1.3226,1.22587
55,1.31081,1.39771
56,0.885959,0.968111
57,0.715905,0.779087
58,0.698004,1.0884
59,1.17999,1.32897
60,1.19029,1.27742
61,0.885031,1.07121
62,0.796566,0.847823
63,0.962821,1.26024
64,1.21435,1.87886
65,1.06804,1.13995
66,0.956216,0.332304
67,0.71115,0.0229927
68,1.23699,1.32897
69,1.69966,1.81013
70,1.03174,0.916559
71,0.601916,0.48696
72,0.20007,0.14328
73,1.35378,1.74139
74,1.58171,2.08507
75,0.975849,0.899375
76,0.571555,0.555696
77,0.625778,0.744719
78,1.80064,1.93041
79,1.78616,2.01633
80,0.964877,1.41489
81,0.795863,1.34616
82,1.01844,1.53518
83,1.99183,1.9476
84,1.85761,1.39771
85,1.32595,1.27742
86,1.33357,1.34616
87,1.42581,1.46645
88,1.46174,1.55237
89,1.1883,1.1915
90,1.12869,1.03685
91,1.04208,0.899375
