Windrichtung_Stundenmittel_Forecast,Windrichtung_Stundenmittel_WeatherStation,Windgeschwindigkeit_Stundenmittel_Forecast,Windgeschwindigkeit_Stundenmittel_WeatherStation,RelativeLuftfeuchte_2m_Forecast,RelativeLuftfeuchte_2m_WeatherStation,Lufttemperatur_2m_Forecast,Lufttemperatur_2m_WeatherStation
0.820371,0.867241,0.896408,1.50863,-1.11996,-1.26026,1.09552,0.761903
0.523167,0.754651,0.8725,1.42098,-0.966612,-0.912365,0.907857,0.693168
0.293805,0.30429,0.430766,1.39176,-0.603437,-0.825392,0.894446,0.641616
0.60995,0.64206,0.139785,0.748969,-1.64051,-0.564471,1.09552,0.761903
0.848713,0.979831,0.376751,0.632098,-0.998899,-0.738418,0.994982,0.727535
0.786431,0.979831,0.409321,0.807404,-0.817311,0.131317,0.921249,0.469776
0.833338,0.867241,0.759341,1.50863,-1.07153,-0.651445,0.994982,0.796271
0.828969,0.867241,0.624089,1.04115,-1.09171,-0.825392,1.02178,0.933743
0.735031,0.754651,0.470225,0.778186,-1.26926,-1.08631,1.0553,0.968111
0.67379,0.867241,0.0174707,0.632098,-1.25312,-0.477498,1.01509,0.555696
0.571824,0.979831,0.207911,-0.0399106,-1.11996,-1.17329,0.840819,0.624432
0.522682,0.41688,0.149322,-0.127564,-1.20067,-0.129603,0.854231,0.40104
0.466103,-0.0334813,0.0740329,-0.0106928,-1.79789,-0.651445,1.11563,0.899375
0.449878,0.64206,-0.288355,0.0477427,-1.57998,0.305264,1.12232,0.607248
0.158368,0.079109,0.114457,0.690533,-1.11188,-0.825392,1.0285,0.847823
0.0966338,0.079109,0.702617,0.836622,-0.272547,-0.651445,0.834124,0.779087
0.0834873,0.191699,0.848617,1.01193,0.0744914,-0.30355,0.847535,0.761903
0.122503,0.30429,0.924921,1.09958,-0.65186,-0.825392,1.15584,1.10558
0.548245,0.64206,0.196787,0.661315,-0.115171,0.131317,0.994982,0.555696
0.733011,0.754651,0.051267,0.515227,-0.611511,-0.912365,0.948072,0.761903
0.678924,0.979831,0.18717,0.135396,-0.922232,-0.738418,0.860927,0.675984
0.548351,0.754651,0.38415,0.106178,-1.39839,-1.08631,0.974875,0.796271
0.590936,0.64206,-0.208121,0.573662,-1.63243,-0.999339,1.08211,0.968111
0.751118,0.52947,-0.568252,0.456791,-1.62033,-0.30355,1.062,0.452592
0.829378,1.09242,-0.821144,-0.185999,-0.938369,-0.651445,0.814016,0.504144
0.867871,0.979831,0.259502,0.106178,-1.49121,-0.825392,0.88775,0.590064
0.807079,0.979831,0.458272,1.01193,-1.66069,-1.7821,0.948072,0.968111
0.783083,0.979831,-0.0529817,0.456791,-1.78578,-1.7821,1.0352,1.07121
0.910747,0.979831,-0.336956,-0.361306,-1.51138,-0.825392,0.988286,0.727535
0.657892,0.867241,-0.40404,-0.156782,-0.647829,-1.52118,0.733587,0.675984
0.649293,0.979831,-0.396243,0.0477427,-0.914158,-1.26026,0.673265,0.624432
0.844446,0.867241,-0.274489,0.193831,-2.00772,-1.69513,0.854231,0.933743
1.24013,1.09242,-0.922984,-0.185999,-2.16106,-2.12999,0.847535,0.916559
-1.60403,1.43019,-1.56767,-1.23784,-1.96737,0.218291,0.733587,0.0401766
-1.3158,-0.821613,-1.2983,-1.44236,-1.10382,1.175,0.619639,-0.389423
-1.46166,-1.15938,-1.31859,-1.61767,-1.01504,-1.08631,0.619639,0.744719
-2.20265,1.09242,-1.23325,-0.916443,-1.54366,-1.60815,0.874338,1.10558
0.383859,1.3176,-0.893355,-0.390524,-0.482378,-0.564471,0.994982,1.12277
0.422524,1.3176,-1.29282,-0.478177,-0.518696,0.305264,1.16925,0.968111
-2.03719,-1.15938,-1.36057,-1.55923,-0.672041,1.26197,1.17595,-0.0629272
0.417546,0.52947,-1.43692,-1.58845,-0.672041,-2.04302,1.16925,1.20869
1.60477,1.20501,-1.04935,-0.945661,-0.615542,-1.60815,1.18264,1.48363
-2.27143,1.43019,-1.1269,-0.624266,-0.369394,-0.390524,1.13573,1.03685
-1.33916,-1.94752,-1.64481,-1.61767,-0.228155,1.26197,1.04189,0.177648
-0.683297,-0.821613,-1.14957,-1.23784,0.143083,1.34895,0.894446,-0.0113753
-0.616536,-0.821613,-0.928763,-0.82879,-0.817311,-1.34723,1.19605,1.41489
-0.817028,-0.483843,-1.06575,-0.448959,-1.81807,-3.34762,1.67863,2.10225
-0.751043,-1.04679,-0.737678,-1.03331,-1.1482,-0.999339,1.65852,1.31179
-0.158762,-0.596433,-1.00276,-1.20862,1.21647,0.653158,1.41724,1.20869
0.267569,-0.483843,-0.615716,-1.15019,1.77737,1.175,1.18936,1.22587
0.328767,0.41688,-0.322202,0.135396,1.13576,0.131317,1.25638,1.65547
0.81525,0.64206,-0.266898,0.0769604,0.248005,-0.390524,1.3167,1.60392
0.240452,0.64206,-0.957291,-0.945661,0.365032,0.305264,1.24968,1.05403
0.0427108,0.191699,0.109231,0.223049,0.574863,-0.04263,1.20947,1.20869
0.0384595,-0.0334813,0.343882,0.164614,1.22858,0.305264,1.0352,1.12277
0.319984,0.079109,-0.0155165,0.719751,0.603106,-0.129603,1.26979,1.46645
0.633745,0.41688,-0.735517,-0.419741,0.199581,-0.216577,1.26307,1.39771
0.620713,0.191699,-0.928708,-1.23784,0.054311,0.479211,1.11563,1.05403
