Windrichtung_Stundenmittel_Forecast,Windrichtung_Stundenmittel_WeatherStation,Windgeschwindigkeit_Stundenmittel_Forecast,Windgeschwindigkeit_Stundenmittel_WeatherStation,RelativeLuftfeuchte_2m_Forecast,RelativeLuftfeuchte_2m_WeatherStation,Lufttemperatur_2m_Forecast,Lufttemperatur_2m_WeatherStation
0.754595,0.867241,0.92147,1.45019,-1.14417,-0.912365,1.0553,0.744719
0.688813,0.867241,0.94653,1.39176,-1.16838,-1.52118,1.01509,0.796271
0.623031,0.754651,0.971578,1.50863,-1.19259,-1.43421,0.974875,0.710351
0.573099,0.754651,0.922045,1.6255,-1.07961,-1.34723,0.941356,0.744719
0.473229,0.754651,0.822946,1.36254,-0.853628,-1.69513,0.874338,0.865007
0.408085,0.754651,0.741694,1.15802,-0.748707,-1.60815,0.874338,0.899375
0.342947,0.52947,0.660406,1.09958,-0.643798,-0.738418,0.874338,0.675984
0.277813,0.30429,0.579153,1.09958,-0.538876,0.305264,0.874338,0.6588
0.309802,0.41688,0.28238,0.953493,-0.668009,-0.564471,0.914553,0.555696
0.325799,0.41688,0.133994,0.748969,-0.73257,-0.651445,0.93466,0.813455
0.420515,0.41688,0.135924,1.09958,-1.03522,-0.390524,0.988286,0.693168
0.515231,0.52947,0.137855,0.778186,-1.33786,-1.34723,1.04189,0.968111
0.642866,0.64206,0.243198,0.369138,-1.4105,-0.825392,1.062,0.796271
0.675786,0.754651,0.346611,0.193831,-1.18049,-1.52118,1.0285,0.865007
0.70871,0.867241,0.450022,0.427573,-0.950475,-0.825392,0.994982,0.538512
0.778709,0.64206,0.413386,0.369138,-0.974687,-0.651445,0.994982,0.779087
0.918712,1.09242,0.340116,0.486009,-1.02311,-0.999339,0.994982,0.761903
0.872319,0.979831,0.31504,0.33992,-0.926264,-0.390524,0.968179,0.57288
0.825932,0.867241,0.289966,0.515227,-0.829417,-0.999339,0.941356,0.710351
0.779548,0.979831,0.264891,0.632098,-0.73257,-0.999339,0.914553,0.796271
0.793317,0.979831,0.553756,1.04115,-0.902052,-0.564471,0.927964,0.6588
0.800195,0.867241,0.698183,1.24567,-0.986793,-1.26026,0.93466,0.761903
0.811245,0.867241,0.718578,1.45019,-1.01504,-1.26026,0.954767,0.779087
0.822285,0.867241,0.738955,1.42098,-1.04329,-0.825392,0.974875,0.693168
0.843701,0.979831,0.732437,1.09958,-1.08364,-0.912365,1.00839,0.813455
0.854064,0.867241,0.705514,1.15802,-1.09575,-0.216577,1.02178,0.521328
0.864433,0.754651,0.678589,0.807404,-1.10785,-0.651445,1.0352,0.641616
0.846704,0.867241,0.65134,0.836622,-1.09978,-0.999339,1.0285,0.847823
0.811236,0.867241,0.596859,1.07036,-1.08364,-1.95605,1.01509,1.13995
0.787199,0.754651,0.582733,1.07036,-1.13609,-1.7821,1.0285,1.01966
0.763164,0.754651,0.568628,0.924275,-1.18856,-0.999339,1.04189,0.916559
0.739121,0.754651,0.554519,0.807404,-1.24102,-2.04302,1.0553,1.13995
0.730933,0.754651,0.385932,0.778186,-1.29751,-1.17329,1.0553,0.933743
0.726836,0.754651,0.301638,0.807404,-1.32576,-0.825392,1.0553,0.744719
0.709157,0.867241,0.206914,0.748969,-1.30155,-1.08631,1.04189,0.813455
0.691478,0.867241,0.112192,0.895057,-1.27733,-0.912365,1.0285,0.779087
0.658242,0.867241,0.0437927,0.369138,-1.20067,-1.17329,0.961463,0.710351
