x,Forecast,Real
0,0.650048,3.48835
1,0.639276,3.67737
2,0.607717,3.78047
3,0.626072,3.79766
4,0.665036,3.81484
5,0.694647,3.83202
6,0.61471,3.5399
7,0.640457,3.66019
8,0.597126,3.95231
9,0.681359,4.15852
10,0.636164,4.03823
11,0.714721,3.93513
12,0.654769,3.98668
13,0.670076,3.95231
14,0.579162,3.76329
15,0.681565,3.83202
16,0.643999,3.57427
17,0.598484,3.72892
18,0.627492,3.66019
19,0.649906,3.66019
20,0.596591,3.643
21,0.62762,3.33369
22,0.647551,3.29932
23,0.62383,3.50553
24,0.667973,3.41961
25,0.588519,3.74611
26,0.626764,3.79766
27,0.683854,3.90076
28,0.79211,3.91795
29,0.760773,3.50553
30,0.721221,4.00387
31,0.795811,3.78047
32,0.722422,3.62582
33,0.645715,3.55708
34,0.658271,3.60863
35,0.649221,3.67737
36,0.613068,3.86639
37,0.596801,3.83202
38,0.57705,3.83202
39,0.594972,3.90076
40,0.505552,3.79766
41,0.503027,3.76329
42,0.573606,3.66019
43,0.51695,3.643
44,0.623317,3.78047
45,0.644251,3.72892
46,0.701766,3.9695
47,0.747085,4.0726
48,0.564544,4.12415
49,0.718036,4.22726
50,0.662965,4.05542
51,0.697861,4.08978
52,0.569237,3.57427
53,0.595642,3.72892
54,0.628833,3.69455
55,0.66672,3.78047
56,0.667138,3.78047
57,0.674388,3.78047
58,0.684566,3.76329
59,0.653183,3.48835
60,0.635524,3.69455
61,0.609436,3.78047
62,0.613554,3.76329
63,0.636221,3.66019
64,0.654863,3.81484
65,0.728209,4.14134
66,0.790739,3.71174
67,0.818089,4.1757
68,0.814015,3.98668
69,0.755117,3.9695
70,0.790298,3.88358
71,0.688146,3.74611
72,0.664524,3.47116
73,0.628537,3.55708
74,0.614107,3.52271
75,0.652439,3.57427
76,0.65089,3.52271
77,0.636433,3.47116
78,0.557264,3.60863
79,0.590425,3.67737
80,0.635296,3.60863
81,0.6333,3.72892
82,0.599573,3.83202
83,0.708096,3.90076
84,0.800828,3.98668
85,0.647658,4.05542
86,0.794715,4.27881
87,0.812851,3.90076
88,0.724334,4.08978
89,0.695379,4.05542
90,0.638401,4.02105
91,0.614801,3.83202
92,0.603535,3.74611
93,0.581445,3.66019
94,0.564578,3.74611
95,0.535374,3.67737
96,0.550567,3.69455
97,0.576021,3.67737
98,0.578086,3.41961
99,0.567502,3.45398
100,0.602687,3.643
101,0.662826,3.62582
102,0.688626,3.95231
103,0.718546,3.84921
104,0.760345,3.95231
105,0.858404,4.1757
106,0.726276,4.14134
107,0.743624,4.14134
108,0.764157,3.93513
109,0.749703,3.88358
110,0.674469,3.69455
111,0.601516,3.50553
112,0.594838,3.05875
113,0.611715,2.74944
114,0.590922,2.62915
115,0.570414,2.5776
116,0.585294,2.62915
117,0.521652,2.95564
118,0.492933,2.5776
119,0.496904,2.56041
120,0.583761,3.76329
121,0.709156,3.84921
122,0.682535,4.02105
123,0.73854,3.98668
124,0.805424,4.12415
125,0.813701,4.22726
126,0.822052,4.19289
127,0.78519,4.22726
128,0.705908,4.14134
129,0.631122,4.03823
130,0.537816,4.02105
131,0.466214,3.95231
132,0.289824,3.98668
133,0.272676,3.76329
134,0.278784,3.66019
135,0.302901,3.43679
136,0.360571,2.95564
137,0.232092,2.95564
138,0.269901,2.88691
139,0.441879,3.47116
140,0.679756,4.22726
141,0.756982,4.33036
142,0.752842,4.3991
143,0.813003,4.43346
144,0.846499,4.5022
145,0.83419,4.5022
146,0.849068,4.3991
147,0.841695,4.34754
148,0.780903,4.05542
149,0.76946,3.88358
150,0.738489,3.74611
151,0.756295,3.60863
152,0.694782,3.19622
153,0.650938,3.12748
154,0.562635,3.00719
155,0.517976,3.12748
156,0.520439,3.00719
157,0.487356,3.00719
158,0.647386,3.28214
159,0.708458,3.84921
160,0.879559,4.43346
161,0.918396,4.6053
162,0.946159,4.9318
163,0.98352,4.94898
164,0.975691,5.12082
165,0.933011,5.06927
166,0.909162,5.01772
167,0.855969,4.96617
168,0.71514,4.33036
169,0.679308,4.21007
170,0.619514,4.0726
171,0.554284,4.22726
172,0.509033,4.22726
173,0.475928,4.1757
174,0.522952,4.26162
175,0.481733,4.29599
176,0.472105,4.24444
177,0.535949,4.29599
178,0.694177,4.27881
179,0.767503,4.33036
180,1.02697,4.67404
181,1.13843,4.46783
182,1.1673,4.46783
183,1.18496,4.63967
184,1.21052,4.62249
185,1.16024,4.51938
186,1.14372,4.41628
187,1.0212,4.27881
188,0.854556,4.0726
189,0.82864,4.15852
190,0.889043,4.15852
191,0.925422,4.19289
192,0.890861,4.22726
193,0.913064,4.21007
194,0.913647,4.21007
195,0.90005,4.14134
196,0.867561,4.14134
197,0.875,4.12415
198,0.884473,4.0726
199,0.956648,4.1757
200,0.993155,4.48502
201,0.983166,4.5022
202,1.02061,4.51938
203,1.02343,4.63967
204,0.991274,4.41628
205,0.941792,4.43346
206,0.881066,4.22726
207,0.826841,3.9695
208,0.832073,4.0726
209,0.831703,3.91795
210,0.821807,3.98668
211,0.848417,3.9695
212,0.832185,3.81484
213,0.833556,3.90076
214,0.811687,3.91795
215,0.809399,3.84921
216,0.81639,3.79766
217,0.817599,3.9695
218,0.841882,4.03823
219,0.874987,4.14134
220,0.989731,4.27881
221,0.980349,4.46783
222,1.02879,4.41628
223,1.01035,4.43346
224,0.940608,4.22726
225,0.861914,4.03823
226,0.752121,3.9695
227,0.769203,4.0726
228,0.731237,3.91795
229,0.751048,3.88358
230,0.755279,3.90076
231,0.717973,3.83202
232,0.669104,3.86639
233,0.728535,3.91795
234,0.700112,3.93513
235,0.675916,4.00387
236,0.709289,4.15852
237,0.73821,4.03823
238,0.80673,4.14134
239,0.849423,4.34754
240,0.944705,4.38191
241,0.936444,4.29599
242,0.940868,4.45065
243,0.940232,4.24444
244,0.783964,4.22726
245,0.755677,4.12415
246,0.791932,4.14134
247,0.764231,4.10697
248,0.762486,4.05542
249,0.773189,4.00387
250,0.740602,4.00387
251,0.744922,3.93513
252,0.750972,3.72892
253,0.737992,3.78047
254,0.775752,3.84921
255,0.7964,4.12415
256,0.788709,4.3991
257,0.795124,4.63967
258,0.880213,4.74278
259,0.906802,4.77714
260,0.895922,4.86306
261,0.94939,4.79433
262,0.891633,4.70841
263,0.878052,4.5022
264,0.819409,3.88358
265,0.827632,3.72892
266,0.821055,3.62582
267,0.842602,3.43679
268,0.841183,3.31651
269,0.81749,3.29932
270,0.793924,3.19622
271,0.761732,3.17903
272,0.723772,2.92127
273,0.705541,3.23059
274,0.774722,3.76329
275,0.86004,4.12415
276,1.03573,4.43346
277,1.08489,4.51938
278,1.10688,4.55375
279,1.14256,4.77714
280,1.09738,4.75996
281,1.04734,4.70841
282,0.967979,4.53657
283,0.823784,4.22726
284,0.720104,3.79766
285,0.693026,3.62582
286,0.643596,3.60863
287,0.607424,3.57427
288,0.56422,3.38524
289,0.509779,3.35087
290,0.502383,3.23059
291,0.460396,3.2134
292,0.519646,3.48835
293,0.645657,3.79766
294,0.765524,4.12415
295,0.88983,4.43346
296,0.987652,4.98335
297,1.0011,5.05209
298,1.05624,5.12082
299,1.08811,5.15519
300,1.05736,4.91462
301,0.986143,4.70841
302,0.854502,4.33036
303,0.772895,4.02105
304,0.713844,3.78047
305,0.700706,3.643
306,0.671333,3.643
307,0.64648,3.57427
308,0.601652,3.59145
309,0.554911,3.59145
310,0.557137,3.59145
311,0.54248,3.59145
312,0.71418,4.05542
313,0.784337,4.31318
314,0.932355,4.5022
315,1.09271,4.70841
316,1.22862,5.10364
317,1.23416,5.10364
318,1.25182,5.08646
319,1.23576,5.10364
320,1.06149,4.88025
321,0.901038,4.67404
322,0.836336,4.48502
323,0.818678,4.45065
324,0.754496,4.31318
325,0.750596,4.27881
326,0.718545,4.1757
327,0.710088,4.10697
328,0.696214,4.38191
329,0.703284,4.21007
330,0.695155,4.29599
331,0.746904,4.45065
332,0.889685,4.62249
333,0.976265,4.79433
334,1.07747,4.81151
335,1.1837,4.81151
336,1.25427,4.62249
337,1.25041,4.53657
338,1.25349,4.57094
339,1.21729,4.48502
340,1.06612,4.36473
341,1.01464,4.33036
342,1.0187,4.24444
343,1.01222,4.29599
344,0.980717,4.22726
345,0.95401,4.24444
346,0.935059,4.33036
347,1.01123,4.26162
348,0.925313,4.22726
349,0.98301,4.19289
350,0.998893,4.36473
351,1.02266,4.41628
352,1.10104,4.6053
353,1.11793,4.57094
354,1.11911,4.5022
355,1.17604,4.70841
356,0.994185,4.69122
357,0.995858,4.53657
358,0.975309,4.46783
359,0.955073,4.33036
360,0.928269,4.12415
361,0.910796,4.05542
362,0.927636,3.98668
363,0.92781,3.98668
364,0.929265,4.1757
365,0.930064,4.08978
366,0.900804,4.03823
367,0.924678,3.98668
368,0.871406,3.90076
369,0.914705,3.98668
370,0.937476,4.14134
371,0.963765,4.27881
372,1.0143,4.3991
373,0.985023,3.83202
374,1.05916,4.03823
375,1.0117,4.1757
376,0.996525,4.27881
377,0.967956,4.21007
378,0.905562,4.14134
379,0.850273,4.02105
380,0.785484,3.98668
381,0.775645,4.00387
382,0.780345,4.00387
383,0.793243,3.9695
