x,Forecast,Real
0,0.786617,0.927935
1,0.643991,1.11696
2,0.691981,1.22006
3,0.695466,1.23725
4,0.695301,1.25443
5,0.834264,1.27161
6,0.733269,0.979487
7,0.66114,1.09977
8,0.68317,1.3919
9,0.745568,1.59811
10,0.796082,1.47782
11,0.739422,1.37472
12,0.672997,1.42627
13,0.65658,1.3919
14,0.796006,1.20288
15,0.883549,1.27161
16,0.719977,1.01385
17,0.899385,1.16851
18,0.701232,1.09977
19,0.735061,1.09977
20,0.673,1.08259
21,0.688476,0.773279
22,0.804005,0.738911
23,0.862249,0.945119
24,0.740482,0.859199
25,0.825685,1.18569
26,0.672384,1.23725
27,0.720398,1.34035
28,0.786217,1.35753
29,1.0808,0.945119
30,0.978981,1.44345
31,0.763246,1.22006
32,0.721692,1.06541
33,0.763521,0.996671
34,0.690874,1.04822
35,0.740121,1.11696
36,0.655895,1.30598
37,0.776677,1.27161
38,0.660486,1.27161
39,0.623338,1.34035
40,0.821932,1.23725
41,0.393796,1.20288
42,0.423577,1.09977
43,0.340176,1.08259
44,0.568007,1.22006
45,0.667571,1.16851
46,0.690392,1.40909
47,0.710798,1.51219
48,0.491196,1.56374
49,0.687248,1.66685
50,0.720889,1.49501
51,0.676232,1.52937
52,0.029284,1.01385
53,0.0629063,1.16851
54,0.468956,1.13414
55,0.67213,1.22006
56,0.799306,1.22006
57,0.704952,1.22006
58,0.728641,1.20288
59,0.738471,0.927935
60,0.698513,1.13414
61,0.712235,1.22006
62,0.925852,1.20288
63,0.80932,1.09977
64,0.820042,1.25443
65,0.757922,1.58093
66,0.843639,1.15133
67,0.870399,1.61529
68,0.887027,1.42627
69,0.740544,1.40909
70,0.730033,1.32317
71,0.677864,1.18569
72,0.68405,0.910751
73,0.649141,0.996671
74,0.697263,0.962303
75,0.710456,1.01385
76,0.697208,0.962303
77,0.657119,0.910751
78,0.647224,1.04822
79,0.702122,1.11696
80,0.687938,1.04822
81,0.812537,1.16851
82,0.818849,1.27161
83,0.730135,1.34035
84,0.750055,1.42627
85,0.799773,1.49501
86,0.724809,1.7184
87,0.784872,1.34035
88,0.668449,1.52937
89,0.721145,1.49501
90,0.793665,1.46064
91,0.455592,1.27161
92,0.453995,1.18569
93,0.121465,1.09977
94,-0.0552624,1.18569
95,0.626288,1.11696
96,0.695565,1.13414
97,0.643074,1.11696
98,0.638474,0.859199
99,0.7873,0.893567
100,0.599775,1.08259
101,0.745008,1.06541
102,0.64667,1.3919
103,0.79617,1.2888
104,1.06144,1.3919
105,1.16655,1.61529
106,1.00059,1.58093
107,0.718797,1.58093
108,0.917372,1.37472
109,0.915817,1.32317
110,0.701648,1.13414
111,0.711857,0.945119
112,0.68512,0.498336
113,0.634034,0.189024
114,0.664632,0.068736
115,0.629977,0.017184
116,0.599428,0.068736
117,0.771856,0.395232
118,0.455678,0.017184
119,0.387038,0
120,0.862044,1.20288
121,0.788513,1.2888
122,0.947114,1.46064
123,0.873619,1.42627
124,0.822164,1.56374
125,1.01482,1.66685
126,0.904924,1.63248
127,0.793641,1.66685
128,0.866801,1.58093
129,0.717779,1.47782
130,0.665069,1.46064
131,0.526011,1.3919
132,0.50329,1.42627
133,0.113633,1.20288
134,-0.129518,1.09977
135,-0.233455,0.876383
136,0.0831796,0.395232
137,-0.124849,0.395232
138,0.013702,0.326496
139,0.544337,0.910751
140,0.956471,1.66685
141,1.1145,1.76995
142,1.1913,1.83869
143,1.1862,1.87305
144,1.31195,1.94179
145,1.32892,1.94179
146,1.22017,1.83869
147,1.08244,1.78713
148,0.886035,1.49501
149,0.745753,1.32317
150,0.709939,1.18569
151,0.730794,1.04822
152,0.629682,0.635807
153,0.57964,0.567072
154,0.45991,0.446784
155,0.32659,0.567072
156,0.750427,0.446784
157,0.758229,0.446784
158,0.727665,0.721727
159,0.757388,1.2888
160,0.976287,1.87305
161,1.04133,2.04489
162,1.18231,2.37139
163,1.22768,2.38857
164,1.1214,2.56041
165,1.12005,2.50886
166,1.01438,2.45731
167,1.00169,2.40576
168,0.745356,1.76995
169,0.632264,1.64966
170,0.580551,1.51219
171,0.559714,1.66685
172,0.5724,1.66685
173,0.464965,1.61529
174,0.486945,1.70121
175,0.393478,1.73558
176,0.404633,1.68403
177,0.633883,1.73558
178,1.11055,1.7184
179,0.800175,1.76995
180,1.25509,2.11363
181,1.28237,1.90742
182,1.46009,1.90742
183,1.50683,2.07926
184,1.44332,2.06208
185,1.28294,1.95897
186,1.37233,1.85587
187,1.23852,1.7184
188,0.952764,1.51219
189,0.914228,1.59811
190,0.800443,1.59811
191,0.807122,1.63248
192,0.754981,1.66685
193,0.821427,1.64966
194,0.87436,1.64966
195,0.809175,1.58093
196,0.837161,1.58093
197,0.881999,1.56374
198,0.857734,1.51219
199,0.992778,1.61529
200,1.28382,1.92461
201,1.11002,1.94179
202,1.03316,1.95897
203,0.973722,2.07926
204,0.960232,1.85587
205,0.924242,1.87305
206,0.89723,1.66685
207,0.993533,1.40909
208,1.06421,1.51219
209,1.17125,1.35753
210,1.01909,1.42627
211,0.938336,1.40909
212,0.856417,1.25443
213,0.819619,1.34035
214,0.824525,1.35753
215,0.836505,1.2888
216,0.847334,1.23725
217,0.812917,1.40909
218,0.804098,1.47782
219,1.00661,1.58093
220,0.982105,1.7184
221,0.9474,1.90742
222,0.978891,1.85587
223,0.965362,1.87305
224,0.930551,1.66685
225,0.870755,1.47782
226,0.874196,1.40909
227,0.909561,1.51219
228,0.925887,1.35753
229,0.928883,1.32317
230,1.05982,1.34035
231,1.03659,1.27161
232,0.729749,1.30598
233,0.943579,1.35753
234,0.973758,1.37472
235,0.873951,1.44345
236,0.855664,1.59811
237,0.766144,1.47782
238,0.788537,1.58093
239,0.81919,1.78713
240,1.03279,1.8215
241,0.976574,1.73558
242,0.968933,1.89024
243,0.959498,1.68403
244,0.839893,1.66685
245,1.2502,1.56374
246,1.22026,1.58093
247,1.11558,1.54656
248,0.953491,1.49501
249,0.971608,1.44345
250,0.85692,1.44345
251,0.7527,1.37472
252,0.705992,1.16851
253,0.667369,1.22006
254,0.68946,1.2888
255,0.77019,1.56374
256,0.94996,1.83869
257,1.06913,2.07926
258,1.22936,2.18237
259,1.32379,2.21673
260,1.33791,2.30265
261,1.51764,2.23392
262,1.34051,2.148
263,1.14446,1.94179
264,0.774283,1.32317
265,0.760974,1.16851
266,0.730317,1.06541
267,0.725841,0.876383
268,0.65193,0.756095
269,0.617373,0.738911
270,0.586498,0.635807
271,0.567455,0.618623
272,0.611555,0.360864
273,0.661342,0.670175
274,0.784467,1.20288
275,1.17255,1.56374
276,1.11235,1.87305
277,1.08669,1.95897
278,1.05582,1.99334
279,1.13406,2.21673
280,1.20379,2.19955
281,1.11438,2.148
282,1.02917,1.97616
283,0.879026,1.66685
284,0.702565,1.23725
285,0.647259,1.06541
286,0.631967,1.04822
287,0.619686,1.01385
288,0.55304,0.824831
289,0.460895,0.790463
290,0.468764,0.670175
291,0.336075,0.652991
292,0.538089,0.927935
293,1.1178,1.23725
294,0.876436,1.56374
295,0.986632,1.87305
296,1.19428,2.42294
297,1.38211,2.49168
298,1.26691,2.56041
299,1.48892,2.59478
300,1.4156,2.35421
301,1.18389,2.148
302,0.977145,1.76995
303,0.727563,1.46064
304,0.687583,1.22006
305,0.739216,1.08259
306,0.791867,1.08259
307,0.884274,1.01385
308,0.749658,1.03104
309,0.60618,1.03104
310,0.554742,1.03104
311,0.510976,1.03104
312,0.688516,1.49501
313,0.844988,1.75277
314,1.00932,1.94179
315,1.19455,2.148
316,1.18097,2.54323
317,1.23799,2.54323
318,1.25001,2.52605
319,1.54989,2.54323
320,1.0459,2.31984
321,0.957645,2.11363
322,0.781804,1.92461
323,0.784334,1.89024
324,0.924983,1.75277
325,1.02994,1.7184
326,1.01321,1.61529
327,1.03587,1.54656
328,0.984323,1.8215
329,0.956949,1.64966
330,0.928195,1.73558
331,0.971722,1.89024
332,1.10818,2.06208
333,1.05307,2.23392
334,1.03929,2.2511
335,1.10419,2.2511
336,1.17477,2.06208
337,1.16492,1.97616
338,1.20195,2.01053
339,1.15864,1.92461
340,0.954001,1.80432
341,0.91869,1.76995
342,0.923555,1.68403
343,0.964018,1.73558
344,0.990962,1.66685
345,0.936383,1.68403
346,0.953975,1.76995
347,1.12527,1.70121
348,0.803263,1.66685
349,0.771813,1.63248
350,0.822821,1.80432
351,0.933957,1.85587
352,1.18361,2.04489
353,1.19129,2.01053
354,1.17212,1.94179
355,1.26644,2.148
356,1.28074,2.13081
357,1.08602,1.97616
358,1.03894,1.90742
359,0.89648,1.76995
360,0.816318,1.56374
361,0.76879,1.49501
362,0.779963,1.42627
363,0.801368,1.42627
364,0.737295,1.61529
365,0.773408,1.52937
366,0.768029,1.47782
367,0.844303,1.42627
368,0.735328,1.34035
369,0.857482,1.42627
370,1.13589,1.58093
371,1.19192,1.7184
372,1.14276,1.83869
373,1.17514,1.27161
374,1.12098,1.47782
375,0.938537,1.61529
376,0.96375,1.7184
377,0.980244,1.64966
378,0.992182,1.58093
379,0.901063,1.46064
380,0.818731,1.42627
381,0.764228,1.44345
382,0.8354,1.44345
383,0.808265,1.40909
384,0.808767,1.46064
385,0.781489,1.35753
386,0.737086,1.42627
387,0.70889,1.44345
388,0.726135,1.52937
389,0.851602,1.51219
390,0.935861,1.68403
391,1.07344,1.54656
392,1.16188,1.75277
393,0.787128,1.66685
394,0.851645,1.63248
395,0.858981,1.61529
396,1.17017,1.40909
397,1.10577,1.40909
398,1.04489,1.37472
399,0.795076,1.46064
400,0.771583,1.46064
401,0.94747,1.42627
402,0.877843,1.46064
403,0.854268,1.46064
404,0.770318,1.44345
405,0.746478,1.47782
