13/08/16-17:06:39 - INFO      - DBInterface - Initialized DBInterface with url : http://localhost:8086.
13/08/16-17:06:44 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:44 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-9-13T0:0:0Z
13/08/16-17:06:44 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:44 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-9-13T3:0:0Z
13/08/16-17:06:44 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:44 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-9-13T6:0:0Z
13/08/16-17:06:44 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:44 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-9-13T9:0:0Z
13/08/16-17:06:44 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:44 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-9-13T12:0:0Z
13/08/16-17:06:44 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:44 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-9-13T15:0:0Z
13/08/16-17:06:44 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:44 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-9-13T18:0:0Z
13/08/16-17:06:44 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:44 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-9-13T21:0:0Z
13/08/16-17:06:51 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:51 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-10-26T2:0:0Z
13/08/16-17:06:51 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:51 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-10-26T4:0:0Z
13/08/16-17:06:51 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:51 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-10-26T7:0:0Z
13/08/16-17:06:52 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:52 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-10-26T10:0:0Z
